id,user_id,prod_id,parent_prod_id,title,comment,time,votes,purchased,rating
1510,u_ENviqw7Bdx65wUqJ,a_jPZjHj7zuJqoAeUG,a_aPRuzuOnrGgFc4gO,Unbearable white noise,"I bought an old CR-3 many years ago and it? s always my favorite speakers. The new one has this white noise issue that? s really bothering when listening to music. Even placed far from electricity source, without plugging to the aux cable, at the lowest volume, the noise is still very noticeable. I was thinking about getting a replacement but when I ask my friends who also own it, and search up online, it seems like everyone has the same issue. Have to return it and try other brands now??",1669937166556,0,True,3
1511,u_x3xVpQaoUB8nB218,a_8v5e7qAQRJed8kOi,a_8v5e7qAQRJed8kOi,Very beautiful and colorful,Nice look for holidays,1619494235249,0,True,5
1512,u_hCbunYsDR3w7hhkO,a_2CvzUsTStGzSJudH,a_2CvzUsTStGzSJudH,It will pay for itself,It works no more Battery every week it will pay for itself in a month,1570536058579,3,True,5
1513,u_bmSGMVIqdU4UZE4V,a_D4b6aiLO4rpizNWU,a_D4b6aiLO4rpizNWU,Five Stars,Thx,1501167668607,0,True,5
1514,u_9l2LQ1SGgSGkStPQ,a_TiGsuG3ieQrUrkxs,a_TiGsuG3ieQrUrkxs,Zero quality control. Buttons are broken in the box..,I never got to use it.. It was broken when I opened the box,1645405231598,1,True,1
1515,u_pNkylzPgo042b7GM,a_CBVWCRjlbxFp63dQ,a_7IURiKC7f3Vvb8M3,Don't waste your money.,Horrible quality. Typical of Chinese knock-offs.  Won't be buying again.,1571683902618,5,True,2
5193,u_aDG7TGrOHUD0UPGz,a_qftID6dERVP7MVq1,a_qftID6dERVP7MVq1,sounds come out great,"After 3 weeks using, I? m very satisfied with this microphone. The sound quality is great and the price value is fair. The kit is standard.<br />Great sound for my games ??! Build up only few minutes  ?",1584723386052,0,True,5
5194,u_4sbu67qbBoAMNYwY,a_oVWGfVECT7ut4JkZ,a_oVWGfVECT7ut4JkZ,Five Stars,Just the right size for my custom Mexican Made bass drum.,1489027644000,0,True,5
5195,u_X3Z559gQA4Qtj9D2,a_IS31H67osOm2agai,a_FzxRqxQl7qv2m3pa,Five Stars,A++,1415820175000,0,False,5
5196,u_jDOH99arIX5UQvDV,a_9FD975dMdcW2tugT,a_9FD975dMdcW2tugT,It's very beautiful.,"What I didn't like this about this ukulele was that it had sharp edges when I strum the ukulele I was getting sharp edges and it was irritating my arm I had to take some sandpaper and smooth down the razor sharp areas around the fish design""  corner of the bridge  and the edge of the body. These areas were so sharp that it irritated my arm badly so I smooth them out with sandpaper.<br /> What I did like... It comes with everything you need even a little lesson book. Also the design of the instrument is so beautiful. I would have sent it back  but I was impressed by how pretty it is.""",1.62362E+12,3,TRUE,3
17432,u_5vzXgxgNfuvP9FuW,a_1VBfiGjmu8Jt3rrP,a_J3ly1b2ipDfncFQz,"Great, if you are too lazy to make them yourself...","While simple and something you could of made yourself out of some ribbon, it is a good product and lots of fun.??",1385001415000,1,True,5
17433,u_q68yUotfKm0bbGCU,a_EAdqpx8gaS9TXEYk,a_lc3LieRek6WArOi5,Works great. Have used them for many years and they ...,Works great. Have used them for many years and they hold up well.<br /><br />A great budget cable that I wholly recommend.,1480714661000,0,True,5
17434,u_CRZ0prHJVKGLoCFd,a_wzmhXa1XdmiUcwFb,a_wzmhXa1XdmiUcwFb,Pésimo empaque,"me llegó roto""  el empaquetado muy malo  ahora me quede con un producto roto  parece que el material es muy débil""",1.65655E+12,1,TRUE,1
49897,u_WZkYGjywiPcGjUkB,a_lrgvIZfDCRGj6h4C,a_lrgvIZfDCRGj6h4C,"Decent microphone clip ??""Decent microphone clip but after the 3rd gig using it",it broke well the springs came out ??,1.63967E+12,0,TRUE,3
29702,u_81BgvsGRaDD0Ey6q,a_VBJUiQi5Oy2KlNyC,a_VBJUiQi5Oy2KlNyC,"Light weight. Won? t ? tarnish.??""Light weight. Won? t ? tarnish.??As a 1955 graduate of the Eastman School of Music","now in my mid-eighties I bought the flute to learn to play it in my spare time. Easy to learn. Decent tone. Easy high notes. Not tiring to hold. Works well playing duets and trios with recorder players because the tone isn? t shrill.""",1.58878E+12,0,TRUE,3
19357,u_Qbmek5fhKXZ5mNaK,a_Vpkzph1dqqrBozB1,a_Vpkzph1dqqrBozB1,Great lights and responsive company!,"Great lights! Stay working all event, good brightness, variety of color possibilities. Plus, I lost the charger, and wrote the company about buying a new one...and they just mailed me a new one! Amazing. 10 out of 10. ??",1639371575078,0,True,5
19358,u_xsYpiw2lSgCacSS0,a_hB8QFRoEIiNdaOsY,a_hB8QFRoEIiNdaOsY,One Star,"These are mini keys"" don? t be fooled.""",1.51379E+12,1,TRUE,1
